text,category,source,score,length
"A man walks into a bar one night.  He goes up to the bar and asks for a  beer.   ""Certainly, sir, that'll be 1 cent.""  ""ONE CENT!"" exclaimed the guy; the barman replied, ""Yes.""  So the guy glances over at the menu, and he asks, ""Could I have a nice juicy T-bone steak, with chips, peas, and a fried egg?"" ""Certainly sir,"" replies the bartender, but all that comes to real money."" How much money?"" inquires the guy. ""4 cents"", he replies.  ""FOUR cents!"" exclaims the guy. ""Where's the Guy who owns this place?""  The barman replies, ""Upstairs with my wife.""  The guy says, ""What's he doing with your wife?""  The bartender replies, ""Same as I'm doing to his business.""",Money,stupidstuff,4.5,186
"When the body was first made, all the parts wanted to be the boss.  The brain said, ""since I control everything and do all the thinking, I should be the boss.""  The feet said, ""since I carry man where he wants to go and get him in position to do what the brain wants, then I should be the boss.""  The hands said, ""since I must do all the work and earn all the money to keep the rest of you going, I should be the boss.""  And so it went with the eyes, the heart, the lungs, and all the other parts of the body, each giving the reason why they should be the boss.  Finally, the butthole spoke up and said it was going to be the boss.  All the other parts laughed and laughed at the idea of the butthole being the boss. The butthole got so angry that he blocked himself off and refused to function.  Soon the brain was feverish and could barely think, the feet felt like lead weights and was almost too weak to drag the body anywhere, the eyes grew bleary, and the hands hung useless at the sides. All pleaded with the brain to let the butthole be declared the boss.  And so it happened; all the other parts did all the work and the butthole just bossed and passed out a lot of crap.  THE MORAL: You don't have to be a brain to be a boss, just an old butthole.",Money,stupidstuff,1.0,312
"There are these two guys named John and Cliff. They were best friends and were so obsessed with baseball that they would go to 60 games a year and analyze every scoreboard. They even promised each other that when one of them goes to heaven, the deceased one would come back and tell the other whether there was baseball in heaven or not.One night Cliff dies in his sleep after watching a Chicago White Sox game -- Chicago won, so at least he died a happy man. The next day Cliff returns to earth to see his friend. ""Hi, John."" ""Cliff, is it really you?"" ""Hey, I told you I'd be back to tell you what's up. And, you know John, there's good news and bad news."" ""Okay. What's the good news?"" ""There is baseball in heaven."" ""The bad news?"" ""You're pitching tomorrow night.""",Sports,stupidstuff,4.67,181
"Disgusted by what he has seen on earth, God decides to destroy it and start over. He orders one of His angels to appear at the offices of four of America's leading newspapers, the Wall Street Journal, the SF Chronical, the Washington Post and the New York Times, in order to give them the scoop that He intends to destroy the world in 2 days time. The next morning, the following headlines appear: Wall Street Journal: GOD TO DESTROY THE WORLD TOMORROW!! MARKETS WILL CLOSE EARLY! SF Chronicle: GOD TO END WORLD TOMORROW!! ANTI-RELIGIOUS PROTESTS PLANNED. ACLU TO SUE GOD!! Washington Post: END OF THE WORLD IS AT HAND, GOD SAYS!! SEE ARTICLE ON PAGE 12-B. New York Times: GOD VOWS DESTRUCTION OF THE EARTH!! WOMEN, CHILDREN AND MINORITIES TO BE HARDEST HIT!!",Office Jokes,stupidstuff,1.0,202
"George Bush and Colin Powell were sitting together at a bar. The bartender was surprised to see them and walked over to them.  ""What are you guys talking about?"" he says to them.  ""Well,"" Bush respones ""We were just talking about WW3. We are gonna kill 40 million Iraquies and one blonde with an amazing chest.  ""Why would you kill a blonde with an amazing chest?"" The bartender asks puzzled. Bush then turns to Powell and says ""See I told you no one would care about 40 million Iraquies!""",Political,stupidstuff,4.25,117
"February 10, 2003    It's Saturday morning and John's just about to set off on a round of golf when he realizes that he forgot to tell his wife that the guy who fixes the washing machine is coming around at noon. So John heads back to the clubhouse and phones home.""Hello?"" says a little girl's voice.""Hi, honey, it's Daddy,"" says John. ""Is Mommy near the phone?""""No, Daddy. She's upstairs in the bedroom with Uncle Fred.""After a brief pause, John says, ""But you haven't got an Uncle Fred, honey!""""Yes, I do, and he's upstairs in the bedroom with Mommy!""""Okay, then. Here's what I want you do. Put down the phone, run upstairs and knock on the bedroom door and shout in to Mommy and Uncle Fred that my car's just pulled up outside the house.""""Okay, Daddy!"" A few minutes later, the little girl comes back to the phone. ""Well, I did what you said, Daddy.""""And what happened?""""Well, Mommy jumped out of bed and ran around screaming, then she tripped over the rug and went out the front window and now she's all dead.""""Oh, my God! What about Uncle Fred?""""He jumped out of bed too, and he was all scared, and he jumped out the back window into the swimming pool. But he must have forgot that last week you took out all the water to clean it, so he hit the bottom of the swimming pool and now he's dead too.""There is a long pause.""Swimming pool? Sorry wrong number.",Sports,stupidstuff,4.4,338
"You know you're from Canada when ... 1. You only know three spices: salt, pepper and ketchup. 2. You design your Halloween costume to fit over a snowsuit. 3. The mosquitoes have landing lights. 4. You have more miles on your snow blower than your car. 5. You have 10 favorite recipes for moose meat. 6. Canadian Tire on any Saturday is busier than the toy stores at Christmas. 7. You live in a house that has no front step, yet the door is one meter above the ground. 8. You've taken your kids trick-or-treating in a blizzard. 9. Driving is better in the winter because the potholes are filled in with snow. 10.You think sexy lingerie is tube-socks and a flannel nightie with only 8 buttons. 11.You owe more money on your snowmobile than your car. 12.The local paper covers national and international headlines on 2 pages, but requires 6 pages for hockey. 13.At least twice a year, the kitchen doubles as a meat processing plant. 14.The most effective mosquito repellent is a shotgun. 15.Your snow blower gets stuck on the roof. 16.You think the start of deer season is a national holiday. 17.You head south to go to your cottage. 18.You frequently clean grease off your barbecue so the bears won't prowl on your deck. 19.You know which leaves make good toilet paper. 20.The major parish fund-raiser isn't bingo it's sausage making. 21.You find -40C a little chilly. 22.The trunk of your car doubles as a deep freeze. 23.You attend a formal event in your best clothes, your finest jewelry and your Sorrels. 24.You can play road hockey on skates. 25.You know 4 seasons: Winter, Still Winter, almost Winter and Construction. 26.The municipality buys a Zamboni before a bus. 27.You understand the Labatt Blue commercials. 28.You perk up when you hear the theme from ""Hockey Night in Canada"". 29.You actually get these jokes and forward them to all your Canadian friends.",Money,stupidstuff,4.0,455
"The new company recruit was lazy. One morning he dialed the number of the cafeteria, but got the wrong number...  When someone picked the phone he said, ""I'm don't feel like working today. Can you send up a coffee and a muffin, and I'll just sit around and read the paper?""  ""Do you know whom you are talking to?"" the other side asked.  ""No."" he replied.  ""You are talking to the director of this company!"" the other side replied.  Then our friend asked, ""do you know who is talking on this side?""  ""No."" the director replied.  ""Good."" And he put the phone down.",Business,stupidstuff,5.0,143
At age 5 success is not peeing in your pantsAt age 10 success is having friendsAt age 16 success is having your driver's licenseAt age 20 success is having sexAt age 35 success is having moneyAt age 50 success is having moneyAt age 65 success is having sexAt age 70 success is having your driver's licenseAt age 75 success is having friendsAt age 80 success is not peeing in your pants,Money,stupidstuff,4.0,86
"Five cannibals get appointed as programmers in an IT company. During the welcoming ceremony the boss says: ""You're all part of our team now. You can earn good money here, and you can go to the company canteen for something to eat. So don't trouble the other employees."" The cannibals promise not to trouble the other employees. Four weeks later the boss returns and says: ""You're all working very hard, and I'm very satisfied with all of you. One of our cleaners has disappeared however. Do any of you know what happened to her?"" The cannibals disavow all knowledge of the missing cleaner. After the boss has left, the leader of the cannibals says to the others: ""Which of you idiots ate the cleaner?"" A hand raises hesitantly, to which the leader of the cannibals says: ""You fool! For four weeks we've been eating Team Leaders, Managers, and Project Managers so no-one would notice anything, and you have to go and eat the cleaner!""",Money,stupidstuff,4.0,216
"A fellow had just been hired as the new CEO of a large high tech corporation. The CEO who was stepping down met with him privately and presented him with three numbered envelopes. ""Open these if you run up against a problem you don't think you can solve,"" he said.Well, things went along pretty smoothly, but six months later, sales took a downturn and he was really catching a lot of heat. About at his wits's end, he remembered the envelopes. He went to his drawer and took out the first envelope. The message read, ""Blame your predecessor.""The new CEO called a press conference and tactfully laid the blame at the feet of the previous CEO. Satisfied with his comments, the press -- and Wall Street -- responded positively, sales began to pick up and the problem was soon behind him.About a year later, the company was again experiencing a slight dip in sales, combined with serious product problems. Having learned from his previous experience, the CEO quickly opened the second envelope. The message read, ""Reorganize."" This he did, and the company quickly rebounded.After several consecutive profitable quarters, the company once again fell on difficult times. The CEO went to his office, closed the door and opened the third envelope. The message said, ""Prepare three envelopes.""",Office Jokes,stupidstuff,3.0,271
"1. The Wall Street Journal is read by the people who run the country. 2. The Washington Post is read by people who think they run thecountry. 3. The New York Times is read by people who think they should run the country. 4. USA Today is read by people who think they ought to run the countrybut  don't really understand the Washington Post. They do, however,like their  statistics shown in pie charts. 5. The Los Angeles Times is read by people who wouldn't mind runningthe  country, if they could spare the time, and if they didn't have to leave LA to do it. 6. The Boston Globe is read by people whose parents used to run the country and they did a far superior job of it, thank you very much. 7. The New York Daily News is read by people who aren't too sure who's  running the  country, and don't  really care as long as they canget a seat  on the train. 8. The New  York Post is read by people who don't care who's running the  country, as long as they do something really scandalous, preferably while  intoxicated. 9. The San Francisco Chronicle is read by people who aren't sure there is  a country or that anyone is running it; but whoever it is,they oppose all  that they stand for. There are occasional exceptionsif the leaders are  handicapped minority feminist atheist dwarfs, whoalso happen to be illegal aliens from ANY country or galaxy as long asthey are Democrats. 10. The Miami Herald is read by people who are running another country but  need the baseball scores. 11. The National Enquirer is read by people trapped in line at thegrocery store.",Sports,stupidstuff,5.0,360
"A little old lady answered a knock on the door one day, only to be confronted by a well-dressed young man carrying a vacuum cleaner. ""Good morning,"" said the young man.  ""If I could take a couple minutes of your time, I would like to demonstrate the very latest in high-powered vacuum cleaners."" ""Go away!"" said the old lady.  ""I haven't got any money"" and she proceeded to close the door. Quick as a flash, the young man wedged his foot in the door and pushed it wide open. ""Don't be too hasty!"" he said.  ""Not until you have at least seen my demonstration."" And with that, he emptied a bucket of horse manure onto her hallway carpet. ""If this vacuum cleaner does not remove all traces of this horse manure from your carpet, Madam, I will personally eat the remainder."" ""Well,"" she said, ""I hope you have a damned good appetite, because the electricity was cut off this morning.""",Money,stupidstuff,5.0,208
"A san diego patrolman pulled over a driver and told him that because he was wearing his seat belt, he had just won $5000 in a safety competition. ""what are you going to do with the money? ""the officer asked.""i guess i""ll go to driving school and get my license, "" the man answered.""don't listen to him,"" said the woman in the passanger seat. ""he's a smart alect when he is drunk.""This woke up the man in the back seat, who saw the cop and said, ""i knew we wouldn't get far in a stolen car.""Then there was a knock from the trunk, and a voice asked in spanish, ""are we over the border yet?""",Money,stupidstuff,4.0,152
"1. ""Better save that. We'll need it for the autopsy.""  2. ""Someone call the janitor - we're going to need a mop.""  3. ""Accept this sacrifice, O Great Lord of Darkness""  4. ""Bo! Bo! Come back with that! Bad Dog!""  5. ""Wait a minute, if this is his spleen, then what's that?""  6. ""Hand me that...uh...that uh... thingie.""  7. ""Oh no! I just lost my Rolex.""  8. ""Oops! Hey, has anyone ever survived 500ml of this stuff before?""  9. ""Damn, there go the lights again... ""  10. ""Ya know, there's big money in kidneys. Hell, the guy's got two of them.""  11. ""What do you mean you want a divorce?""",Money,stupidstuff,3.0,187
"While crossing the US-Mexican border on his bicycle, the man was stopped by a guard who pointed to two sacks the man had on his shoulders. ""What's in the bags?"", asked the guard.  ""Sand,"" said the cyclist.  ""Get them off - we'll take a look,"" said the guard.  The Cyclist did as he was told, emptied the bags, and proving they contained nothing but sand, reloaded the bags, put them on his shoulders and continued across the border.  Two weeks later, the same thing happened. Again the guard demanded to see the two bags, which again contained nothing but sand. This went on every week for six months, until one day the cyclist with the sand bags failed to appear.  A few days later, the guard happened to meet the cyclist downtown. ""Say friend, you sure had us crazy"", said the guard. ""We knew you were smuggling something across the border. I won't say a word - but what is it you were smuggling?"" ""Bicycles!""",Office Jokes,stupidstuff,4.33,215
"a man goes on a trip to japan on business. inbetween sessions, he goes to play golf. he ends up having the worst day of his life. all double bogeys. a fellow golfer tells him the best way to correct this is to go get laid, so he will relax. he goes to the local, and goes at it. the lady spends the entire evening screaming, naha sari! over and over. the man then triumphantly returns, and at the first hole, he hits a hole in one! thinking of the night before , he smiles, and yells, naha sari! the man golfing with him looks and says, ""what do you mean wrong hole?""",Sports,stupidstuff,3.6,147
"* Oops! * Has anyone seen my watch? * That was some party last night. I can't remember when I've been that drunk.* Damn! Page 47 of the manual is missing!* Well this book doesn't say that... What edition is your manual?* OK, now take a picture from this angle. This is truly a freak of nature.* Better save that. We'll need it for the autopsy.* Come back with that! Bad Dog!* Wait a minute, if this is his spleen, then what's that?* Hand me that...uh...that uh... thingie* If I can just remember how they did this on ER last week.* Hey, has anyone ever survived 500ml of this stuff before?* Damn, there go the lights again...* Ya know, there's big money in kidneys. Hell, the guy's got two of 'em.* Everybody stand back! I lost my contact lens!* Could you stop that thing from beating; it's throwing my concentration off.* I wish I hadn't forgotten my glasses.* Well folks, this will be an experiment for all of us.* Steril, shcmeril. The floor's clean, right?* What do you mean he wasn't in for a sex change!* What do you mean, he's not insured?* This patient has already had some kids, am I correct?* Nurse, did this patient sign the organ donation card?* Don't worry. I think it is sharp enough.* What do you mean ""You want a divorce""!* I don't know what it is, but hurry up and pack it in ice.* Let's hurry, I don't want to miss ""Bay Watch""* That laughing gas stuff is pretty cool. Can I have some more of that?* Hey Charlie, unzip the bag on that one, he's still moving.* Did the doctor know he would look like that afterwards?* Of course I've performed this operation before, Nurse!* FIRE! FIRE! Everyone get out!",Money,stupidstuff,3.0,416
"There are three guys in a sauna.  All of a sudden there is a beep.  so guy number one slaps his hand, and guy number two asks what that was.  Guy one says he got his beeper implanted in his hand.  He goes off and reurns his call.  A little while later he comes back and hears a cell phone jingle, and guy number two puts his hand up to his ear and starts talking.  Later, guy number three who was not to up to date on this new technology asks what that was about.  Guy two said he got his cell phone implanted in his hand, because he kept losing it.  Guy number two walks out of the sauna and says he has to get one up on theese guys.  He returns to the sauna and has three feet of toilet paper hanging out of his butt.  At the same time guy one and guy 2 ask what is that, so guy 3 says Don't bother me- I'm receiving a FAX.",Business,stupidstuff,5.0,214
"A man walk up to a woman in his office and tells her that her hair smells nice.The woman imediately goes to her supervisor's office and tells him that she wants to file a sexual harassment suit and proceeds to explain why.The suervisor is puzzled by this time and says, ""What's wrong with your co-worker complimenting on ow your hair smells?""The woman replies.""He's a midget""",Office Jokes,stupidstuff,4.33,90
"The manager of a large office noticed a new man one day and told him to come into his office. ""What is your name?"" was the first thing the manager asked the new guy.  ""John,"" the new guy replied.  The manager scowled, ""Look, I don't know what kind of a place you worked at before, but I don't call anyone by their first name. It breeds familiarity and that leads to a breakdown in authority. I refer to my employees by their last name only - Smith, Jones, Baker - that's all. I am to be referred to only as Mr. Robertson. Now that we got that straight, what is your last name?""  The new guy sighed and said, ""Darling. My name is John Darling.""  ""Okay, John, the next thing I want to tell you is...""",Business,stupidstuff,4.5,176
"As he was quietly watching television at home, the chap heard a sound on the roof of his house and rushed out to investigate. Seeing it was a fair-sized gorilla tearing the shingles off his home, he promptly called up the local zoo authorities to inform them one of their animals had escaped. He was reassured that a gorilla recovering units was on the way and to remain calm. A few minutes later, an old beat up truck, displaying the Gorilla recovery unit logo on its panels, pulled up to the house. The elderly driver proceeds to recover from the back of the truck, a chihuahua dog, a pair of handcuffs, a ladder, a baseball bat, and a 12-gauge shotgun. Puzzled on how this lone elderly was to solve the problem of this gorilla that had by now torn half the roof apart, the chap asked him how he would go about doing this. As he handed him over the 12-gauge shotgun, the zoo employee explained the plan: ""First I'll climb up there with the ladder. Then I'll approach the gorilla and knock him off the roof using the baseball bat. As soon as the gorilla hits the ground, the specially trained chihuahua will attack its private parts. When I get back on the ground, the gorilla will have lowered its hands to its groin area to protect itself thus making it easy for me to slip on the handcuffs. Then, I lead him to the truck, lock him up and take him back to the zoo..."" Amazed at the procedure, the somewhat startled house owner asked why he was handed the 12-gauge shotgun? ""Well,"" explained the experienced gorilla retriever, ""It's just a precaution should things not go exactly as planned. In the unlikely event that once on the roof, the gorilla knocks me off with the baseball, shoot the dog."".",Sports,stupidstuff,3.0,382
"One day long ago. There was a king who gathered all the people of the land. He said if anyone could swim across the lake (with crocodiles) would have their choice of : a castle, money, or his daughters hand in marriage. One man jumped up and yelled ""I can do it!"" He tried and failed. Another man said ""I can do better than that."" So he jumped in and didn't make it either. Next the crowd heard a splash. A man swam all the way across the lake. The king asked him ""Which one would you like? A castle, money, or my daughters' hand in marriage."" The man replied ""I want the idiot that pushed me in!""",Money,stupidstuff,1.0,146
"One day a man and his wife are playing golf at their home course. On a certain par four, the man tees it up and hits a big slice into the woods.  They find his ball directly behind one of the greenskeeper's buildings where equipment is stored, so that he can't play toward the green at all.  ""Damn!"" the man says, ""I'll have to play sideways to get back on the fairway. I'll make five at best.""  But his wife, who had been looking things over, said ""Look, this shed has double doors at both ends. If we open them up, you can hit a low shot right through the building toward the green.""  The man congratulated his wife on her cleverness and they set up for the shot. But the ball hit the top of the far doorframe and came whistling back, striking his wife in the temple and killing her dead on the spot.  A year or so later, the same man was playing the same par 4 and hit his tee shot in almost exactly the same spot as before, right behind the building.  As he is cursing his luck and preparing to swing, one of his playing partners says, ""Wait, look we can open these double doors and...""  ""No way,"" the man says, cutting him off. ""I was here last year and tried that shot and ended up making a six.""",Sports,stupidstuff,3.0,290
"One day a blonde was golfing. She hit the ball into the sand and went to retrieve it. She was just bending down to get it when she heard a small voice"" If you pick me up I will grant you three wishes."" ""ok"" she agreed. She picked him up and he said"" Whatever you wish your husband will get 20 times more"" ""alright, for my first wish I want to be beautiful and flawless"" ""Ok that can be done but remember your husband will 20 times more beautiful!"" ""ok"" She became beautiful.""For my second wish I would like to have a trillion dollars"" ""Ok remember about your husband!"" ""I dont mind"" The blonde felt a wad of money grow in her pocket. ""ok for my last wish I would like to have a small, tiny very little heartattack"" ""Ok but your husband will get 20 times...""",Money,stupidstuff,4.0,182
"a chinese guy,a white guy, and a black guy all get a job at the same place.the boss comes out and says,""i'm leaving for awile,and when i get back i want to see this place swept,and that pile of dirt out front shoveled and in five diffrent piles."" so he tells the white guy,""you are in charge of sweeping."" he tells the black guy,""your in charge of shoveling."" and finally he tells the cinese guy,""your in charge of the supplies.""  he leaves and comes back in about three hours and sees nothing done. so he asked the white guy,""why didn't you do anything?"" he replies,""i would have but the chinese guy didn't give me a broom.""  so he askes the black guy,""why haven't you done anything?""  he also replies,""the chinese guy didn't give me a shovel.""  so he goes to look for the chinese guy, but he couldn't find him. finally he walks over to the pile of dirt and the chinese guy hopped out and said,""supplies!""",Office Jokes,stupidstuff,3.25,230
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack.  Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?'  'There are three colours', he replies, 'Gold, Silver and Bronze.' 'What colour are you going to wear tonight?', she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'Really, why don't you wear Silver: it would be nice if you came second for a change!'.",Sports,stupidstuff,3.0,127
"One day, a mechanical engineer, electrical engineer, chemical engineer, and computer engineer were driving down the street in the same car when it broke down.The mechanical engineer said, ""I think a rod broke.""The chemical engineer said, ""The way it sputtered at the end, I think it's not getting enough gas.""The electrical engineer said, ""I think there was a spark and something's wrong with the electrical system.""All three turned to the computer engineer and said, ""What do you think?""The computer engineer said, ""I think we should all get out and then get back in.""",Computers,stupidstuff,4.0,124
"Reaching the end of a job interview, the human resources person asked a young engineer fresh out of MIT, ""And what starting salary were you looking for?""The engineer said, ""In the neighborhood of $125,000 a year, depending on the benefits package."" The interviewer said, ""Well, what would you say to a five-week vacation, 14 paid holidays, full medical and dental, company matching your retirement fund to 50% of your salary, and a company car leased every two years, say, a red Corvette?""The young engineer sat up straight and said, ""Wow! Are you kidding?""The interviewer replied, ""Yeah, but you started it.""",Computers,stupidstuff,4.5,138
An application was for employment  A program was a TV show  A cursor used profanity  A keyboard was a piano!   Memory was something that you lost with age  A CD was a bank account  And if you had a 3 1/2 inch floppy  You hoped nobody found out!   Compress was something you did to garbage  Not something you did to a file  And if you unzipped anything in public  You'd be in jail for a while!   Log on was adding wood to a fire  Hard drive was a long trip on the road  A mouse pad was where a mouse lived  And a backup happened to your commode!   Cut - you did with a pocket knife  Paste you did with glue  A web was a spider's home  And a virus was the flu!   I guess I'll stick to my pad and paper  And the memory in my head  I hear nobody's been killed in a computer crash  But when it happens they wish they were dead!,Computers,stupidstuff,3.67,213
"This memo is to announce the development of a new software system which will be Year 2000 compliant. This program is known as ""Millennia Year Application Software System"" (MYASS).  Next Monday there will be a meeting in which I will show MYASS to everyone. We will hold demonstrations throughout the month so that all employees will have an opportunity to get a good look at MYASS. We have not addressed networking aspects yet, so currently only one person at a time can use MYASS. This restriction will be removed after MYASS expands.   Some employees have begun using the program already. This morning I walked into a subordinate's office and was not surprised to find that he had his nose buried in MYASS. Some of the less technical people may be somewhat afraid of MYASS. Last week my secretary said to me, ""I'm a little nervous, I never put anything in MYASS before."" I helped her through the first time and afterward she admitted that it was relatively painless and she was actually looking forward to doing it again, and was even ready to kiss MYASS.   There have been concerns over the virus that was found in MYASS upon initial installation, but the virus has been eliminated and we were able to save MYASS. In the future, however, protection will be required prior to entering MYASS. This database will encompass all information associated with the business.   As you begin using the program, feel free to put anything you want in MYASS. As MYASS grows larger, we envision a time when it will be commonplace for a supervisor to hand work to an employee and say, ""here, stick this in MYASS."" It will be a great day when we need data quickly and our employees can respond, ""Here it is, I just pulled it out of MYASS.""",Computers,stupidstuff,3.33,371
"Three construction contractors were visiting a tourist attraction on the same day. One was from New York, another from Texas, and the third from Florida. At the end of the tour, the tour guide asked them what they did for a living.  When they all replied that they were construction contractors, the guide said, ""Hey, we need one of the rear fences redone. Why don't you guys take a look at it and give me a bid?"" So, to the back fence they all went to check it out.  First to step up was the Florida contractor. He took out his tape measure and pencil, did some measuring and said, ""Well I figure the job will run about $900. $400 for materials, $400 for my crew, and $100 profit for me.""  Next was the Texas contractor. He also took out his tape measure and pencil, did some quick figuring and said, ""Looks like I can do this job for $700. $300 for materials, $300 for my crew, and $100 profit for me.""  Without so much as moving, the New York contractor said, ""$2,700.""  The guide, incredulous, looked at him and said, ""You didn't even measure like the other guys! How did you come up with such a high figure?""  ""Easy,"" he said. ""$1,000 for me, $1,000 for you and we hire the guy from Texas.""",Business,stupidstuff,5.0,298
"""Daddy,"" a little girl asked her father, ""do all fairy tales begin with 'Once upon a time'? """"No, sweetheart,"" he answered. ""Some begin with 'If I am elected.'""",Political,stupidstuff,5.0,44
"One day President Bush was visiting Queen Elizabeth and she decided to take him for a tour of London in the Royal Carriage. The carriage was being pulled by six Royal Stallions and one of them suddenly passed gas. It sounded like a 21-gun salute it was so loud! The smell permeated the inside of the carriage and the Queen was totally devastated.""I appoligize profusely for the terrible smell inside the carriage"", she said. ""Oh, that's alright"", said the George, ""for a minute there I thought it was the horse!""",Political,stupidstuff,1.0,116
"Einstein dies and goes to heaven. At the Pearly Gates, Saint Peter tells him, ""You look like Einstein, but you have NO idea the lengths that some people will go to sneak into Heaven. Can you prove who you really are?"" Einstein ponders for a few seconds and asks, ""Could I have a blackboard and some chalk?"" Saint Peter snaps his fingers and a blackboard and chalk instantly appear. Einstein proceeds to describe with arcane mathematics and symbols his theory of relativity. Saint Peter is suitably impressed. ""You really ARE Einstein!"" he says. ""Welcome to heaven!"" The next to arrive is Picasso. Once again, Saint Peter asks for credentials. Picasso asks, ""Mind if I use that blackboard and chalk?"" Saint Peter says, ""Go ahead."" Picasso erases Einstein's equations and sketches a truly stunning mural with just a few strokes of chalk. Saint Peter claps. ""Surely you are the great artist you claim to be!"" he says. ""Come on in!"" Then Saint Peter looks up and sees George W. Bush. Saint Peter scratches his head and says, ""Einstein and Picasso both managed to prove their identity. How can you prove yours?"" George W. looks bewildered and says, ""Who are Einstein and Picasso?"" Saint Peter sighs and says, ""Come on in, George.""",Political,stupidstuff,4.33,279
"Clinton walks out into his garden one day and in the snow he says ""bastard"" written in piss. He is so outraged he goes into the oval office and calls the CIA and FBI to tell them to find out who did this horrible thing to his garden. So they go out and investigate and when they return they say ""Well Bill, we've got bad news and we've got worse news, which one would you like to hear first?"" And Bill says, ""What's the bad news?"" The agent replies, ""It was Al Gore."" Aghast Bill yells, ""That dirty no good son of a #$@&*!!!!! What's the worse news?"" So the agent says, ""It was Hillary's handwriting...""",Political,stupidstuff,3.0,152
"One day the pope was in from Italy and after a rough week of meeting arch bishops and other religious figures, he decided to go see the Galveston shore in Texas.  When he arrives in his popemobile he sees a man strugling for his life aginst a shark.  Upon a closer look he notices that it is John Kerry.  Horrified he starts to call for help when a speedboat pulls up along side Mr Kerry, with GW and Dick Cheney on board. Dick Checny leans over and pulls him out. Then George W, and Dick Cheney begin to beat the shark to death with baseball bats.  The two men notice the Pope and land the boat on the beach.  The pope said to the men,  ""I know that there has been alot of attention and alot of strife in this election, but I can see that you two men respect each other and would help each other in their house of need. You have my blessings""  Then the pope packs off and drives out of site.  Bush asks, ""Who was that?""  ""That was the pope Mr President, he is all knowing and in touch with god. Leader of the Chatholic Church"" Said Dick.  Bush says, ""Well thats all neat and fine, but he dosent know anything about shark fishing. Hows the bait holding up?""",Political,stupidstuff,3.0,280
"The President and Mrs. Clinton are in the front row just above the dugout at a Yankees game.  The row behind them is taken up with SecretService agents. One of them leans over and whispers something in thePresident's ear.President Clinton pauses, then grabs Hillary by the scruff of the neckand heaves her over the railing.  She falls 10 feet to the top of thedug out, kicking and screaming obscenities all the way down, and aftershe lands, the President bows to the crowd, and shakes hands and ""highfive's"" everyone near him.The same Secret Service agent again leans over and whispers, ""No Mr.President, I said, they want you to throw out the first PITCH.""",Political,stupidstuff,3.5,153
"The last four U.S. Presidents are caught in a tornado in Kansas, and off they spin to the Land of OZ. After threatening trials and tribulations, they finally make it to the Emerald City and come before the Great Wizard.""WHAT BRINGS YOU BEFORE THE GREAT WIZARD? WHAT DO YOU WANT?""Jimmy Carter steps forward timidly:""I had a terrible time with Iran, so I've come for some courage.""""No problem"" says the Wizard, ""WHO IS NEXT?""Ronald Reagan steps forward, ""Well.., Well.., Well.., I need a brain.""""Done"" says the Wizard.""Who comes next before the Great Wizard?""Up steps George Bush sadly, ""I'm told by the American people that Ineed a heart.""""I've heard it's true"" says the Wizard. ""Consider it done.""Then there is a great silence.Bill Clinton is just standing there, looking around, but doesn't say a word.Irritated, the Wizard finally asks, ""WHAT BRINGS YOU TO THE EMERALD CITY!?""And Willie replies - ""Is Dorothy around?""",Political,stupidstuff,4.0,227
"Last summer, the President and Mrs. Clinton were vacationing in their home state of Arkansas. On a venture one day, they stopped at a service station to fill up the car with gas. It seemed that the owner of the station was once Hillary's high school love.They exchanged hellos, and went on their way.As they were driving on to their destination, Bill put his arm around Hillary and said, ""Well, honey, if you had stayed with him, you would be the wife of a service station owner today.""She smirked and replied, ""No, if I had stayed with him, he would be President of the United States.""",Political,stupidstuff,3.0,135
"Sen. John Kerry, recovering from prostate surgery, was told it would be six weeks before he could be sexually active. John Edwards called to wish Kerry well. Al Sharpton called Kerry to offer prayers. Howard Dean called with encouragement on recovery. Bill Clinton called Teresa.",Political,stupidstuff,2.0,56
"Before the inauguration, George W. was invited to a 'get acquainted' tour of the White House.  After drinking several glasses of iced tea, he asked President Clinton if he could use his personal bathroom. He was astonished to see that the President had a solid gold urinal!That afternoon, George W. told his wife, Laura, about the urinal. ""Just think,"" he said, ""when I am President, I'll have my own personal gold urinal!""Later, when Laura had lunch with Hillary at her tour of the White House, she told Hillary how impressed George had been with his discovery of the fact that, in the President's private  bathroom, the President had a gold urinal. That evening, Bill and Hillary were getting ready for bed. Hillary turned to Bill and said, ""Well, I found out who peed in your saxophone.""",Political,stupidstuff,4.0,181
"An Israeli doctor said, ""Medicine in my country is so advanced, we can take a kidney out of one person, put it in another and have him looking for work in six weeks.""   A German doctor said ""That's nothing! In Germany, we can take a lung out of one person, put it in another and have him looking for work in four weeks.""   A Russian doctor said, ""In my country, medicine is so advanced, we can take half a heart from one person, put it in another and have them both looking for work in two weeks.""   The American doctor, not to be outdone, said ""Hah! We are about to take an butthole out of Texas, put him in the White House and half the country will be looking for work the next day.""",Political,stupidstuff,4.0,170
